2025-05-17 22:13:42.632 INFO  (main) [c: s: r: x: t:] o.e.j.s.Server jetty-10.0.19; built: 2023-12-15T20:38:32.477Z; git: 8492d1c78f122bb30cce20aecfa07e7283facd47; jvm 17.0.15+6
2025-05-17 22:14:11.225 INFO  (main) [c: s: r: x: t:] o.a.s.c.c.ConnectionManager Client is connected to ZooKeeper
2025-05-17 22:14:11.225 WARN  (main) [c: s: r: x: t:] o.a.s.c.c.SolrZkClient Using default ZkACLProvider. DefaultZkACLProvider is not secure, it creates 'OPEN_ACL_UNSAFE' ACLs to Zookeeper nodes
2025-05-17 22:14:11.340 INFO  (main) [c: s: r: x: t:] o.a.s.c.NodeConfig Loading solr.xml from SolrHome (not found in ZooKeeper)
2025-05-17 22:14:11.340 INFO  (main) [c: s: r: x: t:] o.a.s.c.SolrXmlConfig Loading solr.xml from C:\Users\thoma\OneDrive\Documents\GitHub\IR-Semantic-Analysis-AI\Main\solr-9.5.0\server\solr\solr.xml
2025-05-17 22:14:11.371 INFO  (main) [c: s: r: x: t:] o.a.s.c.SolrResourceLoader Added 1 libs to classloader, from paths: [/C:/Users/thoma/OneDrive/Documents/GitHub/IR-Semantic-Analysis-AI/Main/solr-9.5.0/lib]
2025-05-17 22:14:12.098 INFO  (main) [c: s: r: x: t:] o.a.s.u.t.SimplePropagator Always-on trace id generation enabled.
2025-05-17 22:14:12.355 WARN  (main) [c: s: r: x: t:] o.a.s.u.StartupLoggingUtils Jetty request logging enabled. Will retain logs for last 3 days. See chapter "Configuring Logging" in reference guide for how to configure.
2025-05-17 22:14:12.356 INFO  (main) [c: s: r: x: t:] o.a.s.c.ZkContainer Zookeeper client=localhost:2181
2025-05-17 22:14:12.366 INFO  (main) [c: s: r: x: t:] o.a.s.c.DistributedClusterStateUpdater Creating DistributedClusterStateUpdater with useDistributedStateUpdate=false. Solr will be using Overseer based cluster state updates.
2025-05-17 22:14:12.372 INFO  (main) [c: s: r: x: t:] o.a.s.c.c.ConnectionManager Waiting up to 15000ms for client to connect to ZooKeeper
2025-05-17 22:14:21.854 INFO  (zkConnectionManagerCallback-12-thread-1) [c: s: r: x: t:] o.a.s.c.c.ConnectionManager zkClient has connected
2025-05-17 22:14:21.854 INFO  (main) [c: s: r: x: t:] o.a.s.c.c.ConnectionManager Client is connected to ZooKeeper
2025-05-17 22:14:21.883 WARN  (main) [c: s: r: x: t:] o.a.s.c.ZkController Contents of zookeeper /security.json are world-readable; consider setting up ACLs as described in https://solr.apache.org/guide/solr/latest/deployment-guide/zookeeper-access-control.html
2025-05-17 22:14:21.910 INFO  (main) [c: s: r: x: t:] o.a.s.c.DistributedClusterStateUpdater Creating DistributedClusterStateUpdater with useDistributedStateUpdate=false. Solr will be using Overseer based cluster state updates.
2025-05-17 22:14:21.921 INFO  (main) [c: s: r: x: t:] o.a.s.c.OverseerElectionContext I am going to be the leader localhost:8990_solr
2025-05-17 22:14:21.930 INFO  (main) [c: s: r: x: t:] o.a.s.c.Overseer Overseer (id=72077379126886401-localhost:8990_solr-n_0000000083) starting
2025-05-17 22:14:21.975 INFO  (main) [c: s: r: x: t:] o.a.s.c.ZkController Register node as live in ZooKeeper:/live_nodes/localhost:8990_solr
2025-05-17 22:14:21.976 INFO  (OverseerStateUpdate-72077379126886401-localhost:8990_solr-n_0000000083) [c: s: r: x: t:] o.a.s.c.Overseer Starting to work on the main queue : localhost:8990_solr
2025-05-17 22:14:21.989 INFO  (zkCallback-11-thread-1) [c: s: r: x: t:] o.a.s.c.c.ZkStateReader Updated live nodes from ZooKeeper... (0) -> (1)
2025-05-17 22:14:22.020 WARN  (main) [c: s: r: x: t:] o.a.s.c.CoreContainer Not all security plugins configured!  authentication=disabled authorization=disabled.  Solr is only as secure as you make it. Consider configuring authentication/authorization before exposing Solr to users internal or external.  See https://s.apache.org/solrsecurity for more info
2025-05-17 22:14:41.173 WARN  (main) [c: s: r: x: t:] o.a.s.h.a.SystemInfoHandler Resolving canonical hostname for local host took 18.991 seconds, possible DNS misconfiguration. Set the 'solr.dns.prevent.reverse.lookup'  sysprop to true on startup to prevent future lookups if DNS can not be fixed.
2025-05-17 22:14:41.305 INFO  (main) [c: s: r: x: t:] o.a.s.c.CorePropertiesLocator Found 1 core definitions underneath C:\Users\thoma\OneDrive\Documents\GitHub\IR-Semantic-Analysis-AI\Main\solr-9.5.0\server\solr
2025-05-17 22:14:41.307 INFO  (main) [c: s: r: x: t:] o.a.s.c.CorePropertiesLocator Cores are: [research-papers_shard1_replica_n1]
2025-05-17 22:14:41.340 INFO  (coreLoadExecutor-20-thread-1-processing-localhost:8990_solr) [c: s: r: x: t:] o.a.s.c.SolrConfig Using Lucene MatchVersion: 9.9.0
2025-05-17 22:14:41.410 INFO  (coreLoadExecutor-20-thread-1-processing-localhost:8990_solr) [c: s: r: x: t:] o.a.s.s.IndexSchema Schema name=default-config
2025-05-17 22:14:41.831 WARN  (main) [c: s: r: x: t:] o.g.j.m.i.MessagingBinders A class jakarta.activation.DataSource for a default provider MessageBodyWriter<jakarta.activation.DataSource> was not found. The provider is not available.
2025-05-17 22:14:41.927 INFO  (coreLoadExecutor-20-thread-1-processing-localhost:8990_solr) [c: s: r: x: t:] o.a.s.s.IndexSchema Loaded schema default-config/1.6 with uniqueid field id
2025-05-17 22:14:41.948 INFO  (coreLoadExecutor-20-thread-1-processing-localhost:8990_solr) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:] o.a.s.c.SolrConfig Using Lucene MatchVersion: 9.9.0
2025-05-17 22:14:41.951 INFO  (coreLoadExecutor-20-thread-1-processing-localhost:8990_solr) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:] o.a.s.s.IndexSchema Schema name=default-config
2025-05-17 22:14:42.008 INFO  (coreLoadExecutor-20-thread-1-processing-localhost:8990_solr) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:] o.a.s.s.IndexSchema Loaded schema default-config/1.6 with uniqueid field id
2025-05-17 22:14:42.009 INFO  (coreLoadExecutor-20-thread-1-processing-localhost:8990_solr) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:] o.a.s.c.CoreContainer Creating SolrCore 'research-papers_shard1_replica_n1' using configuration from configset _default, trusted=true
2025-05-17 22:14:42.070 INFO  (coreLoadExecutor-20-thread-1-processing-localhost:8990_solr) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:] o.a.s.c.SolrCore Opening new SolrCore at [C:\Users\thoma\OneDrive\Documents\GitHub\IR-Semantic-Analysis-AI\Main\solr-9.5.0\server\solr\research-papers_shard1_replica_n1], dataDir=[C:\Users\thoma\OneDrive\Documents\GitHub\IR-Semantic-Analysis-AI\Main\solr-9.5.0\server\solr\research-papers_shard1_replica_n1\data\]
2025-05-17 22:14:42.550 INFO  (main) [c: s: r: x: t:] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2025-05-17 22:14:43.211 INFO  (main) [c: s: r: x: t:] o.e.j.s.h.ContextHandler Started o.e.j.w.WebAppContext@2f40a43{solr-jetty-context.xml,/solr,file:///C:/Users/thoma/OneDrive/Documents/GitHub/IR-Semantic-Analysis-AI/Main/solr-9.5.0/server/solr-webapp/webapp/,AVAILABLE}{C:\Users\thoma\OneDrive\Documents\GitHub\IR-Semantic-Analysis-AI\Main\solr-9.5.0\server/solr-webapp/webapp}
2025-05-17 22:14:43.217 INFO  (main) [c: s: r: x: t:] o.e.j.s.RequestLogWriter Opened C:\Users\thoma\OneDrive\Documents\GitHub\IR-Semantic-Analysis-AI\Main\solr-9.5.0\server\logs\2025_05_17.request.log
2025-05-17 22:14:43.227 INFO  (main) [c: s: r: x: t:] o.e.j.s.AbstractConnector Started ServerConnector@18f20260{HTTP/1.1, (http/1.1, h2c)}{127.0.0.1:8990}
2025-05-17 22:14:43.228 INFO  (main) [c: s: r: x: t:] o.e.j.s.Server Started Server@1568159{STARTING}[10.0.19,sto=0] @66850ms
2025-05-17 22:14:43.452 INFO  (qtp85415531-28-localhost-1) [c: s: r: x: t:localhost-1] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=javabin&version=2} status=0 QTime=117
2025-05-17 22:14:43.508 INFO  (qtp85415531-59-localhost-2) [c: s: r: x: t:localhost-2] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/collections params={action=CLUSTERSTATUS&wt=javabin&version=2} status=0 QTime=20
2025-05-17 22:14:45.627 INFO  (qtp85415531-29-localhost-3) [c: s: r: x: t:localhost-3] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={} status=0 QTime=51
2025-05-17 22:14:53.898 INFO  (qtp85415531-30-localhost-4) [c: s: r: x: t:localhost-4] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/collections params={action=LIST} status=0 QTime=4
2025-05-17 22:14:55.970 INFO  (qtp85415531-31-localhost-5) [c: s: r: x: t:localhost-5] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={} status=0 QTime=56
2025-05-17 22:14:57.978 INFO  (qtp85415531-32-localhost-6) [c: s: r: x: t:localhost-6] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/collections params={action=LIST} status=0 QTime=0
2025-05-17 22:15:01.615 WARN  (coreLoadExecutor-20-thread-1-processing-localhost:8990_solr) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:] o.a.s.h.a.SystemInfoHandler Resolving canonical hostname for local host took 18.977 seconds, possible DNS misconfiguration. Set the 'solr.dns.prevent.reverse.lookup'  sysprop to true on startup to prevent future lookups if DNS can not be fixed.
2025-05-17 22:15:01.784 INFO  (coreLoadExecutor-20-thread-1-processing-localhost:8990_solr) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2025-05-17 22:15:01.807 INFO  (coreLoadExecutor-20-thread-1-processing-localhost:8990_solr) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:] o.a.s.u.UpdateHandler Using UpdateLog implementation: org.apache.solr.update.UpdateLog
2025-05-17 22:15:01.807 INFO  (coreLoadExecutor-20-thread-1-processing-localhost:8990_solr) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:] o.a.s.u.UpdateLog Initializing UpdateLog: dataDir= defaultSyncLevel=FLUSH numRecordsToKeep=100 maxNumLogsToKeep=10 numVersionBuckets=65536
2025-05-17 22:15:01.831 INFO  (coreLoadExecutor-20-thread-1-processing-localhost:8990_solr) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:] o.a.s.u.CommitTracker Hard AutoCommit: if uncommitted for 15000ms; 
2025-05-17 22:15:01.831 INFO  (coreLoadExecutor-20-thread-1-processing-localhost:8990_solr) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:] o.a.s.u.CommitTracker Soft AutoCommit: if uncommitted for 3000ms; 
2025-05-17 22:15:01.946 INFO  (coreLoadExecutor-20-thread-1-processing-localhost:8990_solr) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:] o.a.s.r.ManagedResourceStorage Configured ZooKeeperStorageIO with znodeBase: /configs/_default
2025-05-17 22:15:01.948 INFO  (coreLoadExecutor-20-thread-1-processing-localhost:8990_solr) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:] o.a.s.r.ManagedResourceStorage Loaded null at path _rest_managed.json using ZooKeeperStorageIO:path=/configs/_default
2025-05-17 22:15:01.949 INFO  (coreLoadExecutor-20-thread-1-processing-localhost:8990_solr) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:] o.a.s.s.ZkIndexSchemaReader Creating ZooKeeper watch for the managed schema at /configs/_default/managed-schema.xml
2025-05-17 22:15:01.950 INFO  (coreLoadExecutor-20-thread-1-processing-localhost:8990_solr) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:] o.a.s.s.ZkIndexSchemaReader Current schema version 1 is already the latest
2025-05-17 22:15:01.958 INFO  (coreLoadExecutor-20-thread-1-processing-localhost:8990_solr) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:] o.a.s.s.DirectSolrSpellChecker init: {name=default, field=_text_, classname=solr.DirectSolrSpellChecker, distanceMeasure=internal, maxEdits=2, minPrefix=1, maxInspections=5, minQueryLength=4, accuracy=0.5, maxQueryFrequency=0.01}
2025-05-17 22:15:01.964 INFO  (coreLoadExecutor-20-thread-1-processing-localhost:8990_solr) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2025-05-17 22:15:01.967 INFO  (searcherExecutor-22-thread-1-processing-localhost:8990_solr research-papers_shard1_replica_n1 research-papers shard1 core_node2) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:] o.a.s.c.QuerySenderListener QuerySenderListener done.
2025-05-17 22:15:01.967 INFO  (searcherExecutor-22-thread-1-processing-localhost:8990_solr research-papers_shard1_replica_n1 research-papers shard1 core_node2) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: default
2025-05-17 22:15:01.976 INFO  (searcherExecutor-22-thread-1-processing-localhost:8990_solr research-papers_shard1_replica_n1 research-papers shard1 core_node2) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2025-05-17 22:15:01.992 INFO  (coreZkRegister-3-thread-1-processing-localhost:8990_solr research-papers_shard1_replica_n1 research-papers shard1 core_node2) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:] o.a.s.c.ShardLeaderElectionContextBase make sure parent is created /collections/research-papers/leaders/shard1
2025-05-17 22:15:02.001 INFO  (coreZkRegister-3-thread-1-processing-localhost:8990_solr research-papers_shard1_replica_n1 research-papers shard1 core_node2) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:] o.a.s.c.ShardLeaderElectionContext Enough replicas found to continue.
2025-05-17 22:15:02.001 INFO  (coreZkRegister-3-thread-1-processing-localhost:8990_solr research-papers_shard1_replica_n1 research-papers shard1 core_node2) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:] o.a.s.c.ShardLeaderElectionContext I may be the new leader - try and sync
2025-05-17 22:15:02.002 INFO  (coreZkRegister-3-thread-1-processing-localhost:8990_solr research-papers_shard1_replica_n1 research-papers shard1 core_node2) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:] o.a.s.c.SyncStrategy Sync replicas to http://localhost:8990/solr/research-papers_shard1_replica_n1/
2025-05-17 22:15:02.003 INFO  (coreZkRegister-3-thread-1-processing-localhost:8990_solr research-papers_shard1_replica_n1 research-papers shard1 core_node2) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:] o.a.s.c.SyncStrategy Sync Success - now sync replicas to me
2025-05-17 22:15:02.004 INFO  (coreZkRegister-3-thread-1-processing-localhost:8990_solr research-papers_shard1_replica_n1 research-papers shard1 core_node2) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:] o.a.s.c.SyncStrategy http://localhost:8990/solr/research-papers_shard1_replica_n1/ has no replicas
2025-05-17 22:15:02.004 INFO  (coreZkRegister-3-thread-1-processing-localhost:8990_solr research-papers_shard1_replica_n1 research-papers shard1 core_node2) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:] o.a.s.c.ShardLeaderElectionContextBase Creating leader registration node /collections/research-papers/leaders/shard1/leader after winning as /collections/research-papers/leader_elect/shard1/election/72077379126886401-core_node2-n_0000000009
2025-05-17 22:15:02.011 INFO  (coreZkRegister-3-thread-1-processing-localhost:8990_solr research-papers_shard1_replica_n1 research-papers shard1 core_node2) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:] o.a.s.c.ShardLeaderElectionContext I am the new leader: http://localhost:8990/solr/research-papers_shard1_replica_n1/ shard1
2025-05-17 22:15:02.014 INFO  (coreZkRegister-3-thread-1-processing-localhost:8990_solr research-papers_shard1_replica_n1 research-papers shard1 core_node2) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:] o.a.s.c.ZkController I am the leader, no recovery necessary
2025-05-17 22:15:03.002 INFO  (qtp85415531-34-localhost-9) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:localhost-9] o.a.s.c.S.Request webapp=/solr path=/schema/fields params={} status=0 QTime=3
2025-05-17 22:15:05.010 INFO  (qtp85415531-27-localhost-10) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:localhost-10] o.a.s.c.S.Request webapp=/solr path=/schema/fieldtypes/knn_vector params={} status=0 QTime=1
2025-05-17 22:15:07.016 INFO  (qtp85415531-59-localhost-11) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:localhost-11] o.a.s.c.S.Request webapp=/solr path=/schema/fields/title params={} status=0 QTime=0
2025-05-17 22:15:09.022 INFO  (qtp85415531-63-localhost-12) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:localhost-12] o.a.s.c.S.Request webapp=/solr path=/schema/fields/author params={} status=0 QTime=0
2025-05-17 22:15:11.027 INFO  (qtp85415531-28-localhost-13) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:localhost-13] o.a.s.c.S.Request webapp=/solr path=/schema/fields/text params={} status=0 QTime=0
2025-05-17 22:15:13.035 INFO  (qtp85415531-29-localhost-14) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:localhost-14] o.a.s.c.S.Request webapp=/solr path=/schema/fields/abstract params={} status=0 QTime=0
2025-05-17 22:15:15.040 INFO  (qtp85415531-64-localhost-15) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:localhost-15] o.a.s.c.S.Request webapp=/solr path=/schema/fields/vector params={} status=0 QTime=0
2025-05-17 22:15:39.772 INFO  (searcherExecutor-22-thread-1-processing-research-papers_shard1_replica_n1 localhost-16 core_node2 localhost:8990_solr research-papers shard1) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:localhost-16] o.a.s.c.QuerySenderListener QuerySenderListener done.
2025-05-17 22:15:39.782 INFO  (searcherExecutor-22-thread-1-processing-research-papers_shard1_replica_n1 localhost-16 core_node2 localhost:8990_solr research-papers shard1) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:localhost-16] o.a.s.c.SolrCore Registered new searcher autowarm time: 6 ms
2025-05-17 22:15:39.803 INFO  (qtp85415531-32-localhost-16) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:localhost-16] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={commit=true}{add=[1 (1832407676382871552), 2 (1832407676438446080), 3 (1832407676443688960), 4 (1832407676444737536), 5 (1832407676446834688), 6 (1832407676447883264), 7 (1832407676449980416), 8 (1832407676452077568), 9 (1832407676453126144), 10 (1832407676456271872), ... (1400 adds)], commit=} 0 1674
2025-05-17 22:16:08.177 INFO  (qtp85415531-62-localhost-18) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:localhost-18] o.a.s.c.S.Request webapp=/solr path=/select params={q={!knn+f%3Dvector+topK%3D50}[-0.017253,0.072963,0.027566,0.066373,-0.008423,-0.058826,-0.013822,0.111245,-0.02151,0.021578,0.039191,-0.008757,-0.036573,0.02778,-0.035074,-0.007286,-0.047264,0.036485,-0.101809,0.105132,-0.013889,0.014265,0.026964,0.073837,0.083451,-0.050256,0.008069,0.014143,-0.002525,-0.04833,0.012558,0.003479,-0.040566,-0.044232,0.006496,-0.041751,0.096219,-0.001691,-0.031011,0.012726,0.030092,0.073739,0.005232,0.084955,0.02173,0.061928,-0.045576,0.055853,-0.037338,-0.013106,-0.010169,-0.039163,-0.001711,-0.015372,0.076634,0.041337,-0.059234,0.001594,-0.017848,-0.040985,0.006766,0.012505,-0.026839,0.035625,0.012422,0.009494,0.008268,-0.002436,-0.03495,0.00964,0.037228,0.003091,-0.14274,0.025241,0.012248,-0.015605,0.021344,0.076532,-0.039679,0.025702,-0.055932,-0.006223,-0.122364,-0.01011,-0.011303,-0.011822,0.005669,-0.051061,-0.033327,0.037112,0.119791,-0.011704,-0.096069,0.040661,-0.024034,0.013197,-0.00847,-0.021695,-0.03436,0.050969,-0.016371,-0.014052,0.057514,0.074395,-0.035258,0.048946,0.053551,0.020596,0.079178,-0.01868,0.01572,-0.099195,-0.009423,0.081957,-0.015723,-0.109141,0.05428,0.023767,0.053559,0.005987,-0.000286,0.01835,-0.050828,0.003808,0.008939,0.061153,-0.06094,-0.0,-0.004945,0.118412,-0.046741,0.056814,-0.022566,-0.046735,-0.018362,-0.00883,0.020062,-0.012237,-0.110372,0.02728,-0.001864,-0.029586,0.021153,-0.029784,0.050687,0.111261,0.057693,0.026561,-0.008137,0.005456,0.045536,-0.095311,0.008194,-0.067316,0.029782,-0.080588,-0.094662,0.031515,0.024033,0.017621,-0.005975,0.004434,-0.039497,0.016261,0.064429,-0.063776,-0.038049,0.048209,0.022295,0.002949,0.050881,0.020389,-0.034797,-0.007231,0.062428,0.038186,-0.004439,0.011964,0.052892,0.04625,0.067513,-0.059744,0.054034,-0.014735,-0.042867,-0.050151,0.02422,-0.019373,0.027634,-0.013926,-0.004959,-0.009352,0.075503,0.009825,-0.065598,-0.035265,-0.045578,-0.027778,-0.001028,-0.023622,-0.023725,0.002041,0.004064,-0.042718,0.038168,-0.054245,0.080357,-0.008415,-0.058635,0.079211,0.008433,-0.014845,-0.12554,-0.060912,0.108142,0.051966,0.001652,-0.000773,-0.040305,-0.105619,0.052691,-0.038992,-0.057039,0.0,-0.069655,-0.075528,-0.022559,0.006126,-0.021918,0.008909,-0.077699,0.091166,-0.040596,-0.101183,0.039858,0.026807,-0.036367,-0.040677,0.058186,0.006633,-0.005687,-0.085111,-0.043057,-0.044031,0.162272,-0.123701,-0.005212,0.07319,0.033005,-0.034899,0.04958,0.004609,-0.045976,0.045049,-0.049842,-0.099363,-0.014987,0.015922,-0.061528,0.065846,0.033194,0.085767,0.100359,-0.045777,-0.04947,0.034135,-0.015787,-0.0807,0.008973,-0.069733,0.033559,0.02679,0.027146,-0.004129,0.040694,-0.035484,0.085203,0.072107,-0.028897,-0.002985,0.037852,-0.008415,-0.009023,-0.005325,-0.127488,-0.039462,-0.037261,0.004035,-0.007064,-0.007047,-0.016737,-0.046449,0.019192,-0.022818,-0.065317,-0.013262,0.05967,0.030701,0.012587,-0.05311,0.086149,-0.023792,0.020459,0.086849,0.045623,-0.047853,0.058373,-0.010438,-0.0387,-0.01359,0.0057,0.062157,-0.038929,0.058228,0.039314,-0.032172,0.069537,0.006974,-0.006649,-0.0,0.05821,-0.038202,0.052104,0.048225,-0.004927,0.096389,-0.051464,-0.122742,-0.062603,-0.089773,-0.038323,-0.048112,0.021185,-0.002257,-0.005367,0.006631,-0.036863,0.021618,-0.03311,-0.007866,-0.018277,0.059586,0.054095,-0.002946,0.05177,0.006899,-0.156915,-0.043222,0.029763,0.02493,0.007571,0.050392,0.038095,0.013432,0.023421,-0.009082,0.065169,0.027946,-0.035705,0.112179,0.008498,0.00659,0.088747,-0.029209,0.117187,0.007152,0.044882,-0.036711,-0.069815,-0.021023,0.130778,0.069639,-0.060378,0.055868,-0.0732,0.041722,-0.031989,-0.010474,-0.091375,-0.107493,0.049285,0.026822,-0.039802,0.042795]&fl=id,title,score,abstract&rows=50&wt=json} rid=localhost-18 hits=50 status=0 QTime=33
2025-05-17 22:16:08.177 INFO  (qtp85415531-33-localhost-17) [c:research-papers s:shard1 r:core_node2 x:research-papers_shard1_replica_n1 t:localhost-17] o.a.s.c.S.Request webapp=/solr path=/select params={q=title:to+find+an+approximate+correction+for+thickness+in+slender+thin-wing+theory+.+OR+abstract:to+find+an+approximate+correction+for+thickness+in+slender+thin-wing+theory+.+OR+text:to+find+an+approximate+correction+for+thickness+in+slender+thin-wing+theory+.+OR+author:to+find+an+approximate+correction+for+thickness+in+slender+thin-wing+theory+.&fl=id,title,score,abstract&rows=50&wt=json} rid=localhost-17 hits=1256 status=0 QTime=71
